Num_Acc,id_vehicule,num_veh,catv,obs,obsm,motor
202100015783,173459,A01,10,0,1,1
202100015784,173457,A01,7,0,2,1
202100015784,173458,B01,1,0,2,5
202100015785,173455,A01,7,0,2,1
202100015785,173456,B01,7,0,2,1
202100015786,173453,B01,7,0,2,1
202100015786,173454,A01,7,0,2,1
202100015787,173451,B01,7,0,2,1
202100015787,173452,A01,13,0,0,1
202100015788,173450,A01,33,2,0,1
202100015789,173447,C01,7,0,2,1
202100015789,173448,B01,7,0,0,1
202100015789,173449,A01,33,1,2,1
202100015790,173445,A01,33,0,2,1
202100015790,173446,B01,7,0,2,1
202100015791,173444,A01,2,13,0,1
202100015792,173442,B01,10,0,2,1
202100015792,173443,A01,7,0,2,1
202100015793,173440,A01,7,0,2,1
202100015793,173441,B01,7,1,0,1
202100015794,173438,A01,1,0,2,5
202100015794,173439,B01,7,0,9,1
202100015795,173435,C01,7,0,2,1
202100015795,173436,B01,7,0,2,1
202100015795,173437,A01,7,0,2,1
202100015796,173433,B01,32,0,2,1
202100015796,173434,A01,7,0,2,1
202100015797,173431,A01,7,3,2,1
202100015797,173432,B01,7,3,2,1
202100015798,173429,B01,17,0,2,1
202100015798,173430,A01,7,0,2,1
202100015799,173427,A01,7,0,0,1
202100015799,173428,B01,33,0,0,1
202100015800,173425,B01,7,0,2,1
202100015800,173426,A01,7,0,2,1
202100015801,173424,A01,7,2,0,1
202100015802,173423,A01,33,0,9,1
202100015803,173422,A01,2,8,0,1
202100015804,173421,A01,33,2,0,1
202100015805,173420,A01,7,16,0,1
202100015806,173418,A01,30,0,2,1
202100015806,173419,B01,7,0,2,1
202100015807,173417,A01,7,7,0,1
202100015808,173416,A01,7,13,0,1
202100015809,173415,A01,7,13,0,1
202100015810,173413,A01,7,0,2,1
202100015810,173414,B01,7,0,2,1
202100015811,173412,A01,7,13,0,1
202100015812,173411,A01,7,0,0,1
202100015813,173409,A01,32,0,2,1
202100015813,173410,B01,7,0,2,1
202100015814,173407,B01,7,0,0,1
202100015814,173408,A01,10,0,2,0
202100015815,173405,A01,7,1,0,1
202100015815,173406,B01,7,1,0,1
202100015816,173403,B01,33,0,2,1
202100015816,173404,A01,7,0,2,1
202100015817,173402,A01,33,0,0,1
202100015818,173400,B01,10,0,2,1
202100015818,173401,A01,7,0,2,0
202100015819,173397,A01,7,16,0,1
202100015820,173396,A01,7,0,1,1
202100015821,173393,A01,7,3,0,1
